_id,consulta,respuesta.nombre,respuesta.posicion,respuesta.altura_metros,respuesta.peso_libras,respuesta.equipo_id,respuesta.estadisticas,respuesta.nombre_equipo,respuesta.abreviacion_equipo,respuesta.ciudad_equipo,respuesta.conferencia_equipo,respuesta.division_equipo,respuesta.partidos_jugados,respuesta.minutos_jugados_promedio_por_partido,respuesta.canasta_encestada_promedio_por_partido,respuesta.tiro_3puntos_encestados_promedio_por_partido,respuesta.tiros_libres_encestados_promedio_por_partido,respuesta.rebotes_ofensivos_promedio_por_partido,respuesta.rebotes_defensivos_promedio_por_partido,respuesta.asistencias_promedio_por_partido,respuesta.recuperacion_balon_promedio_por_partido,respuesta.tiros_taponados_promedio_por_partido,respuesta.perdida_balon_promedio_por_partido,respuesta.faltas_personales_promedio_por_partido,respuesta.puntos_anotados_promedio_por_partido,respuesta.porcentaje_tiros_encestados
64e6195b9d80c6f3e1d0b1bb,terry rozier,Terry Rozier,Base y Escolta,1.85,190,4,,Charlotte Hornets,CHA,Charlotte,East,Southeast,63,35:18,7.83,2.62,2.83,0.81,3.3,5.06,1.17,0.25,2.13,1.89,21.1,0.415
64e6195d9d80c6f3e1d0b1bc,miles bridges,Miles Bridges,Alero,2.01,225,4,No se dispone de las estadisticas de este jugador en la temporada actual,Charlotte Hornets,CHA,Charlotte,East,Southeast,,,,,,,,,,,,,,
64e6195e9d80c6f3e1d0b1bd,cody martin,Cody Martin,Alero,No se dispone de esta información,,4,,Charlotte Hornets,CHA,Charlotte,East,Southeast,7,19:17,2,0.43,0.57,1.14,2.29,1.57,0.57,0.14,0.29,1.86,5,0.389
64e6195f9d80c6f3e1d0b1be,gordon hayward,Gordon Hayward,Alero,2.03,225,4,,Charlotte Hornets,CHA,Charlotte,East,Southeast,50,31:30,5.52,1.04,2.58,0.66,3.64,4.12,0.84,0.24,1.98,1.4,14.66,0.475
64e619619d80c6f3e1d0b1bf,jaylen brown,Jaylen Brown,Base y Escolta,2.01,220,2,,Boston Celtics,BOS,Boston,East,Atlantic,67,35:56,10.13,2.43,3.93,1.16,5.69,3.46,1.12,0.39,2.94,2.57,26.63,0.491
64e619659d80c6f3e1d0b1c0,jayson tatum,Jayson Tatum,Alero,2.03,208,2,,Boston Celtics,BOS,Boston,East,Atlantic,74,36:55,9.82,3.24,7.18,1.05,7.72,4.62,1.05,0.69,2.88,2.16,30.07,0.466
64e619669d80c6f3e1d0b1c1,marcus smart,Marcus Smart,Base y Escolta,1.93,220,2,,Boston Celtics,BOS,Boston,East,Atlantic,61,32:06,4.1,1.89,1.44,0.75,2.38,6.26,1.52,0.38,2.34,2.82,11.52,0.415
64e619679d80c6f3e1d0b1c2,al horford,Al Horford,Alero y Pivot,2.08,245,2,,Boston Celtics,BOS,Boston,East,Atlantic,63,30:27,3.62,2.3,0.24,1.16,5.03,3,0.48,0.97,0.6,1.92,9.78,0.476
64e619699d80c6f3e1d0b1c3,robert williams,Robert Williams III,Alero y Pivot,2.08,240,2,,Boston Celtics,BOS,Boston,East,Atlantic,35,23:25,3.63,0,0.71,2.97,5.37,1.43,0.63,1.37,0.97,1.94,7.97,0.747
64e619aa06571c06e3743814,oscar robertson,Oscar Robertson,,No se dispone de esta información,,26,No se dispone de las estadisticas de este jugador en la temporada actual,Sacramento Kings,SAC,Sacramento,West,Pacific,,,,,,,,,,,,,,
64e619ab06571c06e3743815,russell westbrook,Russell Westbrook,Base y Escolta,1.91,200,13,,LA Clippers,LAC,LA,West,Pacific,73,29:08,5.92,1.22,2.82,1.22,4.58,7.55,1.04,0.44,3.49,2.22,15.88,0.436
64e619ad06571c06e3743816,jason kidd,Jason Kidd,,No se dispone de esta información,,7,No se dispone de las estadisticas de este jugador en la temporada actual,Dallas Mavericks,DAL,Dallas,West,Southwest,,,,,,,,,,,,,,
64e619ae06571c06e3743817,hakeem olajuwon,Hakeem Olajuwon,,No se dispone de esta información,,11,No se dispone de las estadisticas de este jugador en la temporada actual,Houston Rockets,HOU,Houston,West,Southwest,,,,,,,,,,,,,,
64e619af06571c06e3743818,kevin durant,Kevin Durant,Alero,2.06,240,24,,Phoenix Suns,PHX,Phoenix,West,Pacific,47,35:34,10.28,1.98,6.53,0.36,6.3,5,0.72,1.43,3.32,2.11,29.06,0.56
64e619b106571c06e3743819,dirk nowitzki,Dirk Nowitzki,Alero,2.13,245,7,No se dispone de las estadisticas de este jugador en la temporada actual,Dallas Mavericks,DAL,Dallas,West,Southwest,,,,,,,,,,,,,,
64e619b206571c06e374381a,karl malone,Karl Malone,,No se dispone de esta información,,29,No se dispone de las estadisticas de este jugador en la temporada actual,Utah Jazz,UTA,Utah,West,Northwest,,,,,,,,,,,,,,
64e619b406571c06e374381b,john stockton,John Stockton,,No se dispone de esta información,,29,No se dispone de las estadisticas de este jugador en la temporada actual,Utah Jazz,UTA,Utah,West,Northwest,,,,,,,,,,,,,,
64e619b506571c06e374381c,allen iverson,Allen Iverson,Base y Escolta,No se dispone de esta información,,23,No se dispone de las estadisticas de este jugador en la temporada actual,Philadelphia 76ers,PHI,Philadelphia,East,Atlantic,,,,,,,,,,,,,,
64e619b906571c06e374381d,john collins,John Collins,Alero y Pivot,2.08,235,1,,Atlanta Hawks,ATL,Atlanta,East,Southeast,72,29:54,5.04,0.99,2,1.11,5.36,1.21,0.58,1.01,1.1,3.11,13.07,0.508
64e619ba06571c06e374381e,jrue holiday,Jrue Holiday,Base y Escolta,1.93,205,17,,Milwaukee Bucks,MIL,Milwaukee,East,Central,67,32:33,7.31,2.36,2.27,1.16,3.91,7.39,1.16,0.37,2.94,1.73,19.25,0.479
64e619bc06571c06e374381f,john wall,John Wallace,,No se dispone de esta información,,20,No se dispone de las estadisticas de este jugador en la temporada actual,New York Knicks,NYK,New York,East,Atlantic,,,,,,,,,,,,,,
64e619bd06571c06e3743820,christian wood,Christian Wood,Alero,2.08,214,7,,Dallas Mavericks,DAL,Dallas,West,Southwest,67,25:57,5.91,1.57,3.24,1.3,6.03,1.81,0.45,1.07,1.81,2.52,16.63,0.515
64e619bf06571c06e3743821,myles turner,Myles Turner,Alero y Pivot,2.11,250,12,,Indiana Pacers,IND,Indiana,East,Central,62,29:24,6.48,1.5,3.48,1.42,6.1,1.44,0.58,2.26,1.66,3.47,17.95,0.548
